C1M,C1W,K1M,K1W,WCSLX,MCSLX
Benjamin Savsek,Mallory Franklin,Ondrej Tunka,Jessica Fox,Jessica Fox,Joseph Clarke
Alexander Slafkovsky,Tereza Fiserova,Vit Prindis,Jana Dukatova,Kimberley Woods,Anatole Delassus
Michal Martikan,Ana Satila,Peter Kauzer,Ricarda Funk,Monica Doria Vilarrubla,Stefan Hengst
Franz Anton,Jessica Fox,Hannes Aigner,Mallory Franklin,Camille Prigent,Boris Neveu
Ryan Westley,Andrea Herzog,Jiri Prskavec,Eva Tercelj,Eva Tercelj,Martin Dougoud
Sideris Tasiadis,Nadine Weratschnig,Pavel Eigel,Luuka Jones,Angele HUG,Mathurin MADORE
Cedric Joly,Elena Lilik,David Llorente,Elena Apel,Klaudia ZWOLINSKA,Matyas NOVAK
Ander Elosegi,Gabriela Satkova,Joan Crespo,Kimberley Woods,Elena LILIK,Finn BUTCHER
Luka Bozic,Kimberley Woods,Boris Neveu,Elena Lilik,Evy LEIBFARTH,Noah HEGGE
Vaclav Chaloupka,Klaudia ZWOLINSKA,Marcello Beda,Eliska Mintalova,Noemie Fox,Mario LEITNER
Nicolas Gestin,Alsu MINAZOVA,Giovanni De Gennaro,Klaudia Zwolinska,,
Paolo Ceccon,Evy Leibfarth,Joseph Clarke,Kate ECKHARDT,,
Kaylen BASSETT,,Mathis Soudi,Maialen Chourraut,,
Lukas Rohan,,Titouan CASTRYCK,,,
Adam Burgess,,Jakub KREJCI,,,
Matej Benus,,Jakub Grigar,,,
,,Pau Echaniz,,,
